total_price,unit_price,customers,s,comp_2,qty
45.95,45.95,57,10.26739356,215.0,1
137.85,45.95,61,6.503115265,209.0,3
275.7,45.95,123,12.07165109,205.0,6
183.8,45.95,90,9.293873313,199.5098039,4
91.9,45.95,54,5.555555556,163.3987097,2
137.85,45.95,50,8.333333333,45.95,3
445.85,40.53181818,97,30.55555556,40.53181818,11
239.94,39.99,41,16.66666667,39.99,6
759.81,39.99,62,17.75700935,39.99,19
719.82,39.99,62,16.82242991,39.99,18
679.83,39.99,43,15.88785047,39.99,17
519.87,39.99,34,12.14953271,39.99,13
759.81,39.99,57,10.26739356,39.99,19
199.95,39.99,43,6.503115265,39.99,5
319.92,39.99,26,12.07165109,39.99,8
313.92,39.24,15,9.293873313,39.24,8
419.4,69.9,21,9.107142857,69.9,6
247.9,82.63333333,17,7.678571429,82.63333333,3
1956.0,97.58823529,34,19.04761905,59.9,20
712.0,89.0,26,7.619047619,59.9,8
890.0,89.0,74,9.523809524,59.9,10
683.0,97.33333333,113,6.666666667,59.9,7
891.0,99.0,115,8.571428571,59.9,9
1386.0,99.0,146,13.33333333,59.9,14
1683.0,99.0,339,16.19047619,53.64828125,17
1089.0,99.0,184,10.47619048,55.425,11
398.0,99.5,137,50.0,49.9,4
202.0,101.0,160,25.0,50.9,2
101.0,101.0,116,9.107142857,53.9,1
101.0,101.0,111,7.678571429,53.9,1
258.7,19.9,13,7.59180791,19.9,13
477.6,19.9,33,20.33898305,19.9,24
179.1,19.9,17,7.627118644,19.9,9
603.2,21.54285714,38,23.72881356,20.66666667,28
686.0,24.5,49,23.72881356,24.5,28
392.0,24.5,30,13.55932203,24.5,16
162.5,32.5,6,20.83333333,32.5,5
195.0,32.5,13,25.0,32.74285714,6
245.4,35.05714286,13,29.16666667,34.2,7
108.6,36.2,3,12.5,36.2,3
72.4,36.2,2,8.333333333,36.2,2
36.2,36.2,1,7.59180791,36.2,1
59.9,59.9,17,7.879612825,59.9,1
59.9,59.9,34,8.756805808,59.9,1
239.6,59.9,74,8.711433757,59.9,4
359.4,59.9,113,11.31276467,59.9,6
299.5,59.9,115,8.620689655,59.9,5
658.9,59.9,146,18.96551724,59.9,11
1043.6,51.32222222,339,34.48275862,53.64828125,20
571.8,56.97777778,184,17.24137931,55.425,10
548.9,49.9,137,19.29824561,49.9,11
411.2,51.4,160,14.03508772,50.9,8
161.7,53.9,116,5.263157895,53.9,3
431.2,53.9,111,7.879612825,53.9,8
477.1,52.9,102,8.756805808,53.70952381,9
249.5,49.9,58,8.771929825,49.9,5
299.4,49.9,54,8.711433757,49.9,6
349.3,49.9,46,11.31276467,49.9,7
219.89,19.99,19,14.94444444,19.99,11
179.91,19.99,25,9.142857143,89.99,9
259.87,19.99,23,5.777777778,19.99,13
319.84,19.99,41,9.805555556,89.99,16
419.79,19.99,53,7.345238095,89.99,21
579.71,19.99,61,9.123015873,89.99,29
651.72,23.39740741,82,8.007936508,89.99,28
575.76,23.99,89,10.66666667,89.99,24
647.73,23.99,81,12.0,89.99,27
671.72,23.99,139,12.44444444,89.99,28
455.81,23.99,112,8.444444444,89.99,19
455.81,23.99,98,33.92857143,89.99,19
335.86,23.99,126,14.94444444,89.99,14
191.92,23.99,169,9.142857143,83.74,8
167.93,23.99,159,9.805555556,79.99,7
71.97,23.99,131,7.345238095,79.99,3
71.97,23.99,113,9.123015873,79.99,3
47.98,23.99,127,8.007936508,82.82142857,2
134.99,134.99,42,1.428571429,129.99,1
134.99,134.99,39,1.428571429,116.9275,1
1763.88,146.99,33,17.14285714,119.99,12
807.89,157.3603704,42,38.57142857,129.99,27
807.89,166.99,38,41.42857143,129.99,29
2170.87,166.99,102,34.21052632,129.99,13
1415.92,176.99,20,21.05263158,129.99,8
1911.89,173.8081818,45,28.94736842,129.99,11
1019.94,169.99,18,15.78947368,129.99,6
110.99,110.99,98,0.641025641,89.99,1
221.98,110.99,126,1.282051282,89.99,2
